carbohydrate,protein,fat,salt
20,7,4,871
20,7,4,120
17,8,12,272
40,4,12,13
91,9,27,803
35,14,27,799
19,7,10,940
16,5,12,602
17,10,8,213
4,7,5,21
33,8,9,452
32,11,19,998
22,3,23,500
29,12,13,267
0.08,0.8,1,1066
0.08,0.8,1,613
0.08,0.76,0.92,563
3,23,22,602
1,2.5,5,887
3,21,24,47
0.5,3,5,636
0.5,4.5,6,712
1,4,4.7,297
1,2.3,4.3,711
1,4,4.7,926
1,2.5,4.5,1094
1.4,3.1,4.5,32
1,4,3,438
1,4.3,4.8,136
41.34,5.89,10.82,131
0.12,0.92,0.96,979
63,9,16,253
84,13,18,1074
84,16,18.8,920
21,4,4.7,809
20.31,2.31,6.92,497
21,3,12.5,857
18.89,1.11,2.78,754
18,2,12,761
19,3,10,44
40,5,20,447
13,2,7,467
4,3,2.4,665
4,3,2.4,977
4,3,2.4,389
5,2,3.7,473
13,6,10,224
15,6,4.4,909
4,3,2.9,340
89,24,30,786
81,36,47,871
19,5,20,93
82,11,17,412
4,2,1,362
3,3,1.5,620
4,3,4.2,127
5,2,3.7,50
3,2,2,617
4,2,1.8,94
3,1,0.9,1092
4,3,3,977
2,2,2.1,528
4,3,1.4,733
4,2,1.8,961
0,4,5,739
0.5,3,5,968
0.5,3,5,437
1.7,5,9,1076
1,2.7,5,113
0.6,4,5,131
1,2,4,259
1,3,4.3,727
1,4,5,921
1,4,6,737
1,3.5,5,231
4.1,7.7,7.1,1062
1,3,5,932
1,3,5,768
0,3,5,911
0.6,3,4.4,930
1.5,3,3,620
2,23,32,237
0.5,3,4.1,437
0.37,3,5,232
26,5,3.6,249
48,18,12,979
50,16,13,832
8,6,13,836
8,20,8,421
27,10,8,780
54,11,17,830
25,9,8,424
51.9,20,7.1,165
51,19,14,554
68,15,10,573
43,13,24,965
70,13,14,1092
47,14,18,496
52,16,13,1051
38,11,22,1100
41,29,10,987
17,5,9,1019
29,12,11,201
13,2,4.6,187
27,5,11,659
27,6,9,381
27,6,12,308
29,6,9,514
50,19,7,913
58,10,8,177
38,22,19,1098
37,21,14,112
48,19,17,994
48,26,20,853
12,2,25,646
52.6,8,9.5,251
46.7,7.1,8.4,713
32.1,21.7,3.8,485
41.99,7.71,15.44,1002
32,10,6,22
29,6,25,1096
30,7,21,469
27,6,6,133
30,10,17,237
41,9,8,360
38,6,15,560
29,13,14,210
35,9,12,107
21.1,10,8.2,711
31,9,15,799
25,16,15,361
23,14,18,889
48,6,2.2,1062
17,9,12,469
15,10,13,718
15,11,14,261
21,20,8,52
51,12,5,166
50,17,17,240
54,14,12,699
35,12,16,813
38,16,16,642
75,16,23,438
77,18,16,257
23,6,15,547
35,7,11,998
34,15,16,363
24,6,13,46
6,9,2.3,651
14,2,2,307
17,3.5,8,242
17.4,7.1,3.3,501
29,12,21,497
17,7,4.1,827
26,7,11,381
19,2,7,930
16,3,11,700
15,5,3,821
10,6,4.9,745
18,1,3,39
30,14,16,1028
61,10,15,757
11,1,0,135
80,32,50,159
47,19,13,148
28,6,13,234
26,8,14,1070
24,7,12,91
46,11,11,982
26,7,16,787
34,7,16,570
38,20,24,294
27,8,10,135
10,2,3.3,1065
52,21,14,311
34,10,42,130
85,25,42,1092
33,5,4.5,225
12,2,14,288
16,4,7,12
38,13,9,304
242.98,14.54,6.59,115
28.35,15.37,7.57,430
35.54,16.17,12.92,981
53,14,12,561
243,37,52,638
49,11,19,885
65,11,25,920
26,15,23,409
118,37,55,20
84,34,30,630
43,8,18,418
79,35,38,695
57,9,23,788
235,59,47,35
52,10,11,944
62,9,22,784
118,48,36,617
25,9,24,616
48,26,34,570
57,18,16,709
60,18,17,843
88,54,43,131
97,42,101,777
53,15,22,552
74,35,44,441
41,10,16,369
26,13,15,1030
46,13,16,172
51,22,26,444
51,22,26,704
80,34,78,304
46,11,17,572
59,13,17,1057
53,36,34,377
63,23,14,568
146,51,34,890
23,11,8,475
56,6,16,911
52,13,9,874
47,17,28,241
42,14,26,956
45,15,27,816
42,17,23,882
56,11,20,306
44,15,25,915
34,12,20,690
45,29,28,1035
57,19,32,213
61,22,42,633
21,2,3,179
36,16,12,390
45,12,23,44
49,16,17,589
39,16,27,1048
45,16,22,84
57,15,16,387
118,59,43,711
125,52,44,123
30,8,16,1022
32,15,11,415
33,11,32,995
42,13,23,233
33,14,24,187
36,13,32,1046
58,24,14,158
58,24,14,221
47,23,36,972
70,8,17,336
68,13,15,486
38,6,17,113
17,32,27,1005
49.3,16,14.6,642
25,8,25,925
69,7,17,447
71,8,18,717
41,13,28,699
26,17,30,233
46,17,20,1084
67,23,14,724
26.71,5.6,10.21,976
29.79,8.06,12.15,1060
68,17,9,513
27,6,9,331
35,15,16,1059
36,11,25,469
32,10,30,159
41,11,14,923
35,12,19,793
45,12,18,267
38,18,30,982
45,16,28,977
50,21,19,786
46,26,18,954
60,14,6,1019
58,22,10,757
82,16,19,214
79,23,22,370
58,26,22.37,1015
28,5,12,588
27,6,21,254
42,10,18,899
86,11,16,1078
34,13,25,890
48,15,15,379
44,16,17,731
42,16,23,204
42,17,24,681
36,15,26,319
36,15,26,434
37,19,26,911
43,11,20,1021
47,20,7,541
55,15,9,792
44,14,5,414
70,14,15,213
52,20,4.9,219
79,15,14,121
69,20,23,812
36,6,15,635
30,4,16,962
36,10,28,995
16,9,11,924
31,12,17.68,993
66,8,14,235
18.56,9.72,12.96,481
